title,couplet number,couplet,itemized,itemized_no_punc,annotated,annotated_no_punc
Sonnet XXIV,3,"Which in my bosom's shop is hanging still,/That hath his windows glazed with thine eyes.","('which', 'in', 'my', ""bosom's"", 'shop', 'is', 'hanging', 'still', ',', '/', 'that', 'hath', 'his', 'windows', 'glazed', 'with', 'thine', 'eyes', '.')","('which', 'in', 'my', ""bosom's"", 'shop', 'is', 'hanging', 'still', '', 'that', 'hath', 'his', 'windows', 'glazed', 'with', 'thine', 'eyes', '')","(('which', 1), ('in', 1), ('my', 1), (""bosom's"", None), ('shop', 1), ('is', 1), ('hanging', 2), ('still', 1), (',', 0), ('/', 0), ('that', 1), ('hath', 1), ('his', 1), ('windows', 2), ('glazed', 1), ('with', 1), ('thine', 1), ('eyes', 1), ('.', 0))","(('which', 1), ('in', 1), ('my', 1), (""bosom's"", None), ('shop', 1), ('is', 1), ('hanging', 2), ('still', 1), ('', None), ('that', 1), ('hath', 1), ('his', 1), ('windows', 2), ('glazed', 1), ('with', 1), ('thine', 1), ('eyes', 1), ('', None))"
Sonnet XXIV,4,"Now see what good turns eyes for eyes have done:/Mine eyes have drawn thy shape, and thine for me","('now', 'see', 'what', 'good', 'turns', 'eyes', 'for', 'eyes', 'have', 'done', ':', '/', 'mine', 'eyes', 'have', 'drawn', 'thy', 'shape', ',', 'and', 'thine', 'for', 'me')","('now', 'see', 'what', 'good', 'turns', 'eyes', 'for', 'eyes', 'have', 'done', '', 'mine', 'eyes', 'have', 'drawn', 'thy', 'shape', '', 'and', 'thine', 'for', 'me')","(('now', 1), ('see', 1), ('what', 1), ('good', 1), ('turns', 1), ('eyes', 1), ('for', 1), ('eyes', 1), ('have', 1), ('done', 1), (':', None), ('/', 0), ('mine', 1), ('eyes', 1), ('have', 1), ('drawn', 1), ('thy', 1), ('shape', 1), (',', 0), ('and', 1), ('thine', 1), ('for', 1), ('me', 1))","(('now', 1), ('see', 1), ('what', 1), ('good', 1), ('turns', 1), ('eyes', 1), ('for', 1), ('eyes', 1), ('have', 1), ('done', 1), ('', None), ('mine', 1), ('eyes', 1), ('have', 1), ('drawn', 1), ('thy', 1), ('shape', 1), ('', None), ('and', 1), ('thine', 1), ('for', 1), ('me', 1))"
Sonnet XXIV,5,"Are windows to my breast, where-through the sun/Delights to peep, to gaze therein on thee;","('are', 'windows', 'to', 'my', 'breast', ',', 'where', '-', 'through', 'the', 'sun', '/', 'delights', 'to', 'peep', ',', 'to', 'gaze', 'therein', 'on', 'thee', ';')","('are', 'windows', 'to', 'my', 'breast', '', 'where', 'through', 'the', 'sun', 'delights', 'to', 'peep', '', 'to', 'gaze', 'therein', 'on', 'thee;')","(('are', 1), ('windows', 2), ('to', 1), ('my', 1), ('breast', 1), (',', 0), ('where', 1), ('-', 0), ('through', 1), ('the', 1), ('sun', 1), ('/', 0), ('delights', 2), ('to', 1), ('peep', 1), (',', 0), ('to', 1), ('gaze', 1), ('therein', 2), ('on', 1), ('thee', 1), (';', 0))","(('are', 1), ('windows', 2), ('to', 1), ('my', 1), ('breast', 1), ('', None), ('where', 1), ('through', 1), ('the', 1), ('sun', 1), ('delights', 2), ('to', 1), ('peep', 1), ('', None), ('to', 1), ('gaze', 1), ('therein', 2), ('on', 1), ('thee;', None))"
Sonnet XXIV,6,"  Yet eyes this cunning want to grace their art;/  They draw but what they see, know not the heart.","('yet', 'eyes', 'this', 'cunning', 'want', 'to', 'grace', 'their', 'art', ';', '/', 'they', 'draw', 'but', 'what', 'they', 'see', ',', 'know', 'not', 'the', 'heart', '.')","('', '', 'yet', 'eyes', 'this', 'cunning', 'want', 'to', 'grace', 'their', 'art;', '', '', 'they', 'draw', 'but', 'what', 'they', 'see', '', 'know', 'not', 'the', 'heart', '')","(('yet', 1), ('eyes', 1), ('this', 1), ('cunning', 2), ('want', 1), ('to', 1), ('grace', 1), ('their', 1), ('art', 1), (';', 0), ('/', 0), ('they', 1), ('draw', 1), ('but', 1), ('what', 1), ('they', 1), ('see', 1), (',', 0), ('know', 1), ('not', 1), ('the', 1), ('heart', 1), ('.', 0))","(('', None), ('', None), ('yet', 1), ('eyes', 1), ('this', 1), ('cunning', 2), ('want', 1), ('to', 1), ('grace', 1), ('their', 1), ('art;', None), ('', None), ('', None), ('they', 1), ('draw', 1), ('but', 1), ('what', 1), ('they', 1), ('see', 1), ('', None), ('know', 1), ('not', 1), ('the', 1), ('heart', 1), ('', None))"
Sonnet XXV,0,"Let those who are in favour with their stars/Of public honour and proud titles boast,","('let', 'those', 'who', 'are', 'in', 'favour', 'with', 'their', 'stars', '/', 'of', 'public', 'honour', 'and', 'proud', 'titles', 'boast', ',')","('let', 'those', 'who', 'are', 'in', 'favour', 'with', 'their', 'stars', 'of', 'public', 'honour', 'and', 'proud', 'titles', 'boast', '')","(('let', 1), ('those', 1), ('who', 1), ('are', 1), ('in', 1), ('favour', 2), ('with', 1), ('their', 1), ('stars', 1), ('/', 0), ('of', 1), ('public', 2), ('honour', 2), ('and', 1), ('proud', 1), ('titles', 2), ('boast', 1), (',', 0))","(('let', 1), ('those', 1), ('who', 1), ('are', 1), ('in', 1), ('favour', 2), ('with', 1), ('their', 1), ('stars', 1), ('of', 1), ('public', 2), ('honour', 2), ('and', 1), ('proud', 1), ('titles', 2), ('boast', 1), ('', None))"
Sonnet XXV,1,"Whilst I, whom fortune of such triumph bars,/Unlook'd for joy in that I honour most.","('whilst', 'i', ',', 'whom', 'fortune', 'of', 'such', 'triumph', 'bars', ',', '/', ""unlook'd"", 'for', 'joy', 'in', 'that', 'i', 'honour', 'most', '.')","('whilst', 'i', '', 'whom', 'fortune', 'of', 'such', 'triumph', 'bars', '', ""unlook'd"", 'for', 'joy', 'in', 'that', 'i', 'honour', 'most', '')","(('whilst', 1), ('i', 1), (',', 0), ('whom', 1), ('fortune', 2), ('of', 1), ('such', 1), ('triumph', 2), ('bars', 1), (',', 0), ('/', 0), (""unlook'd"", None), ('for', 1), ('joy', 1), ('in', 1), ('that', 1), ('i', 1), ('honour', 2), ('most', 1), ('.', 0))","(('whilst', 1), ('i', 1), ('', None), ('whom', 1), ('fortune', 2), ('of', 1), ('such', 1), ('triumph', 2), ('bars', 1), ('', None), (""unlook'd"", None), ('for', 1), ('joy', 1), ('in', 1), ('that', 1), ('i', 1), ('honour', 2), ('most', 1), ('', None))"
Sonnet XXV,2,"Great princes' favourites their fair leaves spread/But as the marigold at the sun's eye,","('great', ""princes'"", 'favourites', 'their', 'fair', 'leaves', 'spread', '/', 'but', 'as', 'the', 'marigold', 'at', 'the', ""sun's"", 'eye', ',')","('great', ""princes'"", 'favourites', 'their', 'fair', 'leaves', 'spread', 'but', 'as', 'the', 'marigold', 'at', 'the', ""sun's"", 'eye', '')","(('great', 1), (""princes'"", None), ('favourites', None), ('their', 1), ('fair', 1), ('leaves', 1), ('spread', 1), ('/', 0), ('but', 1), ('as', 1), ('the', 1), ('marigold', 3), ('at', 1), ('the', 1), (""sun's"", 1), ('eye', 1), (',', 0))","(('great', 1), (""princes'"", None), ('favourites', None), ('their', 1), ('fair', 1), ('leaves', 1), ('spread', 1), ('but', 1), ('as', 1), ('the', 1), ('marigold', 3), ('at', 1), ('the', 1), (""sun's"", 1), ('eye', 1), ('', None))"
Sonnet XXV,3,"And in themselves their pride lies buried,/For at a frown they in their glory die.","('and', 'in', 'themselves', 'their', 'pride', 'lies', 'buried', ',', '/', 'for', 'at', 'a', 'frown', 'they', 'in', 'their', 'glory', 'die', '.')","('and', 'in', 'themselves', 'their', 'pride', 'lies', 'buried', '', 'for', 'at', 'a', 'frown', 'they', 'in', 'their', 'glory', 'die', '')","(('and', 1), ('in', 1), ('themselves', 2), ('their', 1), ('pride', 1), ('lies', 1), ('buried', 2), (',', 0), ('/', 0), ('for', 1), ('at', 1), ('a', 1), ('frown', 1), ('they', 1), ('in', 1), ('their', 1), ('glory', 2), ('die', 1), ('.', 0))","(('and', 1), ('in', 1), ('themselves', 2), ('their', 1), ('pride', 1), ('lies', 1), ('buried', 2), ('', None), ('for', 1), ('at', 1), ('a', 1), ('frown', 1), ('they', 1), ('in', 1), ('their', 1), ('glory', 2), ('die', 1), ('', None))"
Sonnet XXV,4,"The painful warrior famoused for fight,/After a thousand victories once foil'd,","('the', 'painful', 'warrior', 'famoused', 'for', 'fight', ',', '/', 'after', 'a', 'thousand', 'victories', 'once', ""foil'd"", ',')","('the', 'painful', 'warrior', 'famoused', 'for', 'fight', '', 'after', 'a', 'thousand', 'victories', 'once', ""foil'd"", '')","(('the', 1), ('painful', 2), ('warrior', 3), ('famoused', None), ('for', 1), ('fight', 1), (',', 0), ('/', 0), ('after', 2), ('a', 1), ('thousand', 2), ('victories', 3), ('once', 1), (""foil'd"", None), (',', 0))","(('the', 1), ('painful', 2), ('warrior', 3), ('famoused', None), ('for', 1), ('fight', 1), ('', None), ('after', 2), ('a', 1), ('thousand', 2), ('victories', 3), ('once', 1), (""foil'd"", None), ('', None))"
Sonnet XXV,5,"Is from the book of honour razed quite,/And all the rest forgot for which he toil'd:","('is', 'from', 'the', 'book', 'of', 'honour', 'razed', 'quite', ',', '/', 'and', 'all', 'the', 'rest', 'forgot', 'for', 'which', 'he', ""toil'd"", ':')","('is', 'from', 'the', 'book', 'of', 'honour', 'razed', 'quite', '', 'and', 'all', 'the', 'rest', 'forgot', 'for', 'which', 'he', ""toil'd"", '')","(('is', 1), ('from', 1), ('the', 1), ('book', 1), ('of', 1), ('honour', 2), ('razed', 1), ('quite', 1), (',', 0), ('/', 0), ('and', 1), ('all', 1), ('the', 1), ('rest', 1), ('forgot', 2), ('for', 1), ('which', 1), ('he', 1), (""toil'd"", None), (':', None))","(('is', 1), ('from', 1), ('the', 1), ('book', 1), ('of', 1), ('honour', 2), ('razed', 1), ('quite', 1), ('', None), ('and', 1), ('all', 1), ('the', 1), ('rest', 1), ('forgot', 2), ('for', 1), ('which', 1), ('he', 1), (""toil'd"", None), ('', None))"
Sonnet XXV,6,"  Then happy I, that love and am beloved/  Where I may not remove nor be removed.","('then', 'happy', 'i', ',', 'that', 'love', 'and', 'am', 'beloved', '/', 'where', 'i', 'may', 'not', 'remove', 'nor', 'be', 'removed', '.')","('', '', 'then', 'happy', 'i', '', 'that', 'love', 'and', 'am', 'beloved', '', '', 'where', 'i', 'may', 'not', 'remove', 'nor', 'be', 'removed', '')","(('then', 1), ('happy', 2), ('i', 1), (',', 0), ('that', 1), ('love', 1), ('and', 1), ('am', 1), ('beloved', 2), ('/', 0), ('where', 1), ('i', 1), ('may', 1), ('not', 1), ('remove', 2), ('nor', 1), ('be', 1), ('removed', 2), ('.', 0))","(('', None), ('', None), ('then', 1), ('happy', 2), ('i', 1), ('', None), ('that', 1), ('love', 1), ('and', 1), ('am', 1), ('beloved', 2), ('', None), ('', None), ('where', 1), ('i', 1), ('may', 1), ('not', 1), ('remove', 2), ('nor', 1), ('be', 1), ('removed', 2), ('', None))"
Sonnet XXVI,0,"Lord of my love, to whom in vassalage/Thy merit hath my duty strongly knit,","('lord', 'of', 'my', 'love', ',', 'to', 'whom', 'in', 'vassalage', '/', 'thy', 'merit', 'hath', 'my', 'duty', 'strongly', 'knit', ',')","('lord', 'of', 'my', 'love', '', 'to', 'whom', 'in', 'vassalage', 'thy', 'merit', 'hath', 'my', 'duty', 'strongly', 'knit', '')","(('lord', 1), ('of', 1), ('my', 1), ('love', 1), (',', 0), ('to', 1), ('whom', 1), ('in', 1), ('vassalage', None), ('/', 0), ('thy', 1), ('merit', 2), ('hath', 1), ('my', 1), ('duty', 2), ('strongly', 2), ('knit', 1), (',', 0))","(('lord', 1), ('of', 1), ('my', 1), ('love', 1), ('', None), ('to', 1), ('whom', 1), ('in', 1), ('vassalage', None), ('thy', 1), ('merit', 2), ('hath', 1), ('my', 1), ('duty', 2), ('strongly', 2), ('knit', 1), ('', None))"
Sonnet XXVI,1,"To thee I send this written embassage,/To witness duty, not to show my wit:","('to', 'thee', 'i', 'send', 'this', 'written', 'embassage', ',', '/', 'to', 'witness', 'duty', ',', 'not', 'to', 'show', 'my', 'wit', ':')","('to', 'thee', 'i', 'send', 'this', 'written', 'embassage', '', 'to', 'witness', 'duty', '', 'not', 'to', 'show', 'my', 'wit', '')","(('to', 1), ('thee', 1), ('i', 1), ('send', 1), ('this', 1), ('written', 2), ('embassage', None), (',', 0), ('/', 0), ('to', 1), ('witness', 2), ('duty', 2), (',', 0), ('not', 1), ('to', 1), ('show', 1), ('my', 1), ('wit', 1), (':', None))","(('to', 1), ('thee', 1), ('i', 1), ('send', 1), ('this', 1), ('written', 2), ('embassage', None), ('', None), ('to', 1), ('witness', 2), ('duty', 2), ('', None), ('not', 1), ('to', 1), ('show', 1), ('my', 1), ('wit', 1), ('', None))"
Sonnet XXVI,2,"Duty so great, which wit so poor as mine/May make seem bare, in wanting words to show it,","('duty', 'so', 'great', ',', 'which', 'wit', 'so', 'poor', 'as', 'mine', '/', 'may', 'make', 'seem', 'bare', ',', 'in', 'wanting', 'words', 'to', 'show', 'it', ',')","('duty', 'so', 'great', '', 'which', 'wit', 'so', 'poor', 'as', 'mine', 'may', 'make', 'seem', 'bare', '', 'in', 'wanting', 'words', 'to', 'show', 'it', '')","(('duty', 2), ('so', 1), ('great', 1), (',', 0), ('which', 1), ('wit', 1), ('so', 1), ('poor', 1), ('as', 1), ('mine', 1), ('/', 0), ('may', 1), ('make', 1), ('seem', 1), ('bare', 1), (',', 0), ('in', 1), ('wanting', 2), ('words', 1), ('to', 1), ('show', 1), ('it', 1), (',', 0))","(('duty', 2), ('so', 1), ('great', 1), ('', None), ('which', 1), ('wit', 1), ('so', 1), ('poor', 1), ('as', 1), ('mine', 1), ('may', 1), ('make', 1), ('seem', 1), ('bare', 1), ('', None), ('in', 1), ('wanting', 2), ('words', 1), ('to', 1), ('show', 1), ('it', 1), ('', None))"
Sonnet XXVI,3,"But that I hope some good conceit of thine/In thy soul's thought, all naked, will bestow it;","('but', 'that', 'i', 'hope', 'some', 'good', 'conceit', 'of', 'thine', '/', 'in', 'thy', ""soul's"", 'thought', ',', 'all', 'naked', ',', 'will', 'bestow', 'it', ';')","('but', 'that', 'i', 'hope', 'some', 'good', 'conceit', 'of', 'thine', 'in', 'thy', ""soul's"", 'thought', '', 'all', 'naked', '', 'will', 'bestow', 'it;')","(('but', 1), ('that', 1), ('i', 1), ('hope', 1), ('some', 1), ('good', 1), ('conceit', 2), ('of', 1), ('thine', 1), ('/', 0), ('in', 1), ('thy', 1), (""soul's"", None), ('thought', 1), (',', 0), ('all', 1), ('naked', 2), (',', 0), ('will', 1), ('bestow', 2), ('it', 1), (';', 0))","(('but', 1), ('that', 1), ('i', 1), ('hope', 1), ('some', 1), ('good', 1), ('conceit', 2), ('of', 1), ('thine', 1), ('in', 1), ('thy', 1), (""soul's"", None), ('thought', 1), ('', None), ('all', 1), ('naked', 2), ('', None), ('will', 1), ('bestow', 2), ('it;', None))"
Sonnet XXVI,4,Till whatsoever star that guides my moving/Points on me graciously with fair aspect,"('till', 'whatsoever', 'star', 'that', 'guides', 'my', 'moving', '/', 'points', 'on', 'me', 'graciously', 'with', 'fair', 'aspect')","('till', 'whatsoever', 'star', 'that', 'guides', 'my', 'moving', 'points', 'on', 'me', 'graciously', 'with', 'fair', 'aspect')","(('till', 1), ('whatsoever', 4), ('star', 1), ('that', 1), ('guides', 1), ('my', 1), ('moving', 2), ('/', 0), ('points', 1), ('on', 1), ('me', 1), ('graciously', 3), ('with', 1), ('fair', 1), ('aspect', 2))","(('till', 1), ('whatsoever', 4), ('star', 1), ('that', 1), ('guides', 1), ('my', 1), ('moving', 2), ('points', 1), ('on', 1), ('me', 1), ('graciously', 3), ('with', 1), ('fair', 1), ('aspect', 2))"
Sonnet XXVI,5,"And puts apparel on my tatter'd loving,/To show me worthy of thy sweet respect:","('and', 'puts', 'apparel', 'on', 'my', ""tatter'd"", 'loving', ',', '/', 'to', 'show', 'me', 'worthy', 'of', 'thy', 'sweet', 'respect', ':')","('and', 'puts', 'apparel', 'on', 'my', ""tatter'd"", 'loving', '', 'to', 'show', 'me', 'worthy', 'of', 'thy', 'sweet', 'respect', '')","(('and', 1), ('puts', 1), ('apparel', 3), ('on', 1), ('my', 1), (""tatter'd"", None), ('loving', 2), (',', 0), ('/', 0), ('to', 1), ('show', 1), ('me', 1), ('worthy', 2), ('of', 1), ('thy', 1), ('sweet', 1), ('respect', 2), (':', None))","(('and', 1), ('puts', 1), ('apparel', 3), ('on', 1), ('my', 1), (""tatter'd"", None), ('loving', 2), ('', None), ('to', 1), ('show', 1), ('me', 1), ('worthy', 2), ('of', 1), ('thy', 1), ('sweet', 1), ('respect', 2), ('', None))"
Sonnet XXVI,6,  Then may I dare to boast how I do love thee;/  Till then not show my head where thou mayst prove me.,"('then', 'may', 'i', 'dare', 'to', 'boast', 'how', 'i', 'do', 'love', 'thee', ';', '/', 'till', 'then', 'not', 'show', 'my', 'head', 'where', 'thou', 'mayst', 'prove', 'me', '.')","('', '', 'then', 'may', 'i', 'dare', 'to', 'boast', 'how', 'i', 'do', 'love', 'thee;', '', '', 'till', 'then', 'not', 'show', 'my', 'head', 'where', 'thou', 'mayst', 'prove', 'me', '')","(('then', 1), ('may', 1), ('i', 1), ('dare', 1), ('to', 1), ('boast', 1), ('how', 1), ('i', 1), ('do', 1), ('love', 1), ('thee', 1), (';', 0), ('/', 0), ('till', 1), ('then', 1), ('not', 1), ('show', 1), ('my', 1), ('head', 1), ('where', 1), ('thou', 1), ('mayst', None), ('prove', 1), ('me', 1), ('.', 0))","(('', None), ('', None), ('then', 1), ('may', 1), ('i', 1), ('dare', 1), ('to', 1), ('boast', 1), ('how', 1), ('i', 1), ('do', 1), ('love', 1), ('thee;', None), ('', None), ('', None), ('till', 1), ('then', 1), ('not', 1), ('show', 1), ('my', 1), ('head', 1), ('where', 1), ('thou', 1), ('mayst', None), ('prove', 1), ('me', 1), ('', None))"
Sonnet XXVII,0,"Weary with toil, I haste me to my bed,/The dear repose for limbs with travel tired;","('weary', 'with', 'toil', ',', 'i', 'haste', 'me', 'to', 'my', 'bed', ',', '/', 'the', 'dear', 'repose', 'for', 'limbs', 'with', 'travel', 'tired', ';')","('weary', 'with', 'toil', '', 'i', 'haste', 'me', 'to', 'my', 'bed', '', 'the', 'dear', 'repose', 'for', 'limbs', 'with', 'travel', 'tired;')","(('weary', 2), ('with', 1), ('toil', 1), (',', 0), ('i', 1), ('haste', 1), ('me', 1), ('to', 1), ('my', 1), ('bed', 1), (',', 0), ('/', 0), ('the', 1), ('dear', 1), ('repose', 2), ('for', 1), ('limbs', 1), ('with', 1), ('travel', 2), ('tired', 2), (';', 0))","(('weary', 2), ('with', 1), ('toil', 1), ('', None), ('i', 1), ('haste', 1), ('me', 1), ('to', 1), ('my', 1), ('bed', 1), ('', None), ('the', 1), ('dear', 1), ('repose', 2), ('for', 1), ('limbs', 1), ('with', 1), ('travel', 2), ('tired;', None))"
Sonnet XXVII,1,"But then begins a journey in my head,/To work my mind, when body's work's expired:","('but', 'then', 'begins', 'a', 'journey', 'in', 'my', 'head', ',', '/', 'to', 'work', 'my', 'mind', ',', 'when', ""body's"", ""work's"", 'expired', ':')","('but', 'then', 'begins', 'a', 'journey', 'in', 'my', 'head', '', 'to', 'work', 'my', 'mind', '', 'when', ""body's"", ""work's"", 'expired', '')","(('but', 1), ('then', 1), ('begins', 2), ('a', 1), ('journey', 2), ('in', 1), ('my', 1), ('head', 1), (',', 0), ('/', 0), ('to', 1), ('work', 1), ('my', 1), ('mind', 1), (',', 0), ('when', 1), (""body's"", 2), (""work's"", 1), ('expired', 2), (':', None))","(('but', 1), ('then', 1), ('begins', 2), ('a', 1), ('journey', 2), ('in', 1), ('my', 1), ('head', 1), ('', None), ('to', 1), ('work', 1), ('my', 1), ('mind', 1), ('', None), ('when', 1), (""body's"", 2), (""work's"", 1), ('expired', 2), ('', None))"
Sonnet XXVII,2,"For then my thoughts, from far where I abide,/Intend a zealous pilgrimage to thee,","('for', 'then', 'my', 'thoughts', ',', 'from', 'far', 'where', 'i', 'abide', ',', '/', 'intend', 'a', 'zealous', 'pilgrimage', 'to', 'thee', ',')","('for', 'then', 'my', 'thoughts', '', 'from', 'far', 'where', 'i', 'abide', '', 'intend', 'a', 'zealous', 'pilgrimage', 'to', 'thee', '')","(('for', 1), ('then', 1), ('my', 1), ('thoughts', 1), (',', 0), ('from', 1), ('far', 1), ('where', 1), ('i', 1), ('abide', 2), (',', 0), ('/', 0), ('intend', 2), ('a', 1), ('zealous', 2), ('pilgrimage', 3), ('to', 1), ('thee', 1), (',', 0))","(('for', 1), ('then', 1), ('my', 1), ('thoughts', 1), ('', None), ('from', 1), ('far', 1), ('where', 1), ('i', 1), ('abide', 2), ('', None), ('intend', 2), ('a', 1), ('zealous', 2), ('pilgrimage', 3), ('to', 1), ('thee', 1), ('', None))"
Sonnet XXVII,3,"And keep my drooping eyelids open wide,/Looking on darkness which the blind do see","('and', 'keep', 'my', 'drooping', 'eyelids', 'open', 'wide', ',', '/', 'looking', 'on', 'darkness', 'which', 'the', 'blind', 'do', 'see')","('and', 'keep', 'my', 'drooping', 'eyelids', 'open', 'wide', '', 'looking', 'on', 'darkness', 'which', 'the', 'blind', 'do', 'see')","(('and', 1), ('keep', 1), ('my', 1), ('drooping', 2), ('eyelids', 2), ('open', 2), ('wide', 1), (',', 0), ('/', 0), ('looking', 2), ('on', 1), ('darkness', 2), ('which', 1), ('the', 1), ('blind', 1), ('do', 1), ('see', 1))","(('and', 1), ('keep', 1), ('my', 1), ('drooping', 2), ('eyelids', 2), ('open', 2), ('wide', 1), ('', None), ('looking', 2), ('on', 1), ('darkness', 2), ('which', 1), ('the', 1), ('blind', 1), ('do', 1), ('see', 1))"
Sonnet XXVII,4,"Save that my soul's imaginary sight/Presents thy shadow to my sightless view,","('save', 'that', 'my', ""soul's"", 'imaginary', 'sight', '/', 'presents', 'thy', 'shadow', 'to', 'my', 'sightless', 'view', ',')","('save', 'that', 'my', ""soul's"", 'imaginary', 'sight', 'presents', 'thy', 'shadow', 'to', 'my', 'sightless', 'view', '')","(('save', 1), ('that', 1), ('my', 1), (""soul's"", None), ('imaginary', 5), ('sight', 1), ('/', 0), ('presents', 2), ('thy', 1), ('shadow', 2), ('to', 1), ('my', 1), ('sightless', None), ('view', 1), (',', 0))","(('save', 1), ('that', 1), ('my', 1), (""soul's"", None), ('imaginary', 5), ('sight', 1), ('presents', 2), ('thy', 1), ('shadow', 2), ('to', 1), ('my', 1), ('sightless', None), ('view', 1), ('', None))"
Sonnet XXVII,5,"Which, like a jewel hung in ghastly night,/Makes black night beauteous and her old face new.","('which', ',', 'like', 'a', 'jewel', 'hung', 'in', 'ghastly', 'night', ',', '/', 'makes', 'black', 'night', 'beauteous', 'and', 'her', 'old', 'face', 'new', '.')","('which', '', 'like', 'a', 'jewel', 'hung', 'in', 'ghastly', 'night', '', 'makes', 'black', 'night', 'beauteous', 'and', 'her', 'old', 'face', 'new', '')","(('which', 1), (',', 0), ('like', 1), ('a', 1), ('jewel', 2), ('hung', 1), ('in', 1), ('ghastly', 2), ('night', 1), (',', 0), ('/', 0), ('makes', 1), ('black', 1), ('night', 1), ('beauteous', None), ('and', 1), ('her', 1), ('old', 1), ('face', 1), ('new', 1), ('.', 0))","(('which', 1), ('', None), ('like', 1), ('a', 1), ('jewel', 2), ('hung', 1), ('in', 1), ('ghastly', 2), ('night', 1), ('', None), ('makes', 1), ('black', 1), ('night', 1), ('beauteous', None), ('and', 1), ('her', 1), ('old', 1), ('face', 1), ('new', 1), ('', None))"
Sonnet XXVII,6,"  Lo! thus, by day my limbs, by night my mind,/  For thee and for myself no quiet find.","('lo', '!', 'thus', ',', 'by', 'day', 'my', 'limbs', ',', 'by', 'night', 'my', 'mind', ',', '/', 'for', 'thee', 'and', 'for', 'myself', 'no', 'quiet', 'find', '.')","('', '', 'lo!', 'thus', '', 'by', 'day', 'my', 'limbs', '', 'by', 'night', 'my', 'mind', '', '', '', 'for', 'thee', 'and', 'for', 'myself', 'no', 'quiet', 'find', '')","(('lo', 1), ('!', 0), ('thus', 1), (',', 0), ('by', 1), ('day', 1), ('my', 1), ('limbs', 1), (',', 0), ('by', 1), ('night', 1), ('my', 1), ('mind', 1), (',', 0), ('/', 0), ('for', 1), ('thee', 1), ('and', 1), ('for', 1), ('myself', 2), ('no', 1), ('quiet', 2), ('find', 1), ('.', 0))","(('', None), ('', None), ('lo!', None), ('thus', 1), ('', None), ('by', 1), ('day', 1), ('my', 1), ('limbs', 1), ('', None), ('by', 1), ('night', 1), ('my', 1), ('mind', 1), ('', None), ('', None), ('', None), ('for', 1), ('thee', 1), ('and', 1), ('for', 1), ('myself', 2), ('no', 1), ('quiet', 2), ('find', 1), ('', None))"
Sonnet XXVIII,0,"How can I then return in happy plight,/That am debarr'd the benefit of rest?","('how', 'can', 'i', 'then', 'return', 'in', 'happy', 'plight', ',', '/', 'that', 'am', ""debarr'd"", 'the', 'benefit', 'of', 'rest', '?')","('how', 'can', 'i', 'then', 'return', 'in', 'happy', 'plight', '', 'that', 'am', ""debarr'd"", 'the', 'benefit', 'of', 'rest?')","(('how', 1), ('can', 1), ('i', 1), ('then', 1), ('return', 2), ('in', 1), ('happy', 2), ('plight', 1), (',', 0), ('/', 0), ('that', 1), ('am', 1), (""debarr'd"", None), ('the', 1), ('benefit', 3), ('of', 1), ('rest', 1), ('?', None))","(('how', 1), ('can', 1), ('i', 1), ('then', 1), ('return', 2), ('in', 1), ('happy', 2), ('plight', 1), ('', None), ('that', 1), ('am', 1), (""debarr'd"", None), ('the', 1), ('benefit', 3), ('of', 1), ('rest?', None))"
Sonnet XXVIII,1,"When day's oppression is not eased by night,/But day by night, and night by day, oppress'd?","('when', ""day's"", 'oppression', 'is', 'not', 'eased', 'by', 'night', ',', '/', 'but', 'day', 'by', 'night', ',', 'and', 'night', 'by', 'day', ',', ""oppress'd"", '?')","('when', ""day's"", 'oppression', 'is', 'not', 'eased', 'by', 'night', '', 'but', 'day', 'by', 'night', '', 'and', 'night', 'by', 'day', '', ""oppress'd?"")","(('when', 1), (""day's"", 1), ('oppression', 3), ('is', 1), ('not', 1), ('eased', 1), ('by', 1), ('night', 1), (',', 0), ('/', 0), ('but', 1), ('day', 1), ('by', 1), ('night', 1), (',', 0), ('and', 1), ('night', 1), ('by', 1), ('day', 1), (',', 0), (""oppress'd"", None), ('?', None))","(('when', 1), (""day's"", 1), ('oppression', 3), ('is', 1), ('not', 1), ('eased', 1), ('by', 1), ('night', 1), ('', None), ('but', 1), ('day', 1), ('by', 1), ('night', 1), ('', None), ('and', 1), ('night', 1), ('by', 1), ('day', 1), ('', None), (""oppress'd?"", None))"
Sonnet XXVIII,2,"And each, though enemies to either's reign,/Do in consent shake hands to torture me;","('and', 'each', ',', 'though', 'enemies', 'to', ""either's"", 'reign', ',', '/', 'do', 'in', 'consent', 'shake', 'hands', 'to', 'torture', 'me', ';')","('and', 'each', '', 'though', 'enemies', 'to', ""either's"", 'reign', '', 'do', 'in', 'consent', 'shake', 'hands', 'to', 'torture', 'me;')","(('and', 1), ('each', 1), (',', 0), ('though', 1), ('enemies', 3), ('to', 1), (""either's"", None), ('reign', 1), (',', 0), ('/', 0), ('do', 1), ('in', 1), ('consent', 2), ('shake', 1), ('hands', 1), ('to', 1), ('torture', 2), ('me', 1), (';', 0))","(('and', 1), ('each', 1), ('', None), ('though', 1), ('enemies', 3), ('to', 1), (""either's"", None), ('reign', 1), ('', None), ('do', 1), ('in', 1), ('consent', 2), ('shake', 1), ('hands', 1), ('to', 1), ('torture', 2), ('me;', None))"
