title,couplet number,couplet,itemized,itemized_no_punc,annotated,annotated_no_punc
Sonnet II,3,"To say, within thine own deep-sunken eyes,/Were an all-eating shame and thriftless praise.","('to', 'say', ',', 'within', 'thine', 'own', 'deep', '-', 'sunken', 'eyes', ',', '/', 'were', 'an', 'all', '-', 'eating', 'shame', 'and', 'thriftless', 'praise', '.')","('to', 'say', '', 'within', 'thine', 'own', 'deep', 'sunken', 'eyes', '', 'were', 'an', 'all', 'eating', 'shame', 'and', 'thriftless', 'praise', '')","(('to', 1), ('say', 1), (',', 0), ('within', 2), ('thine', 1), ('own', 1), ('deep', 1), ('-', 0), ('sunken', 2), ('eyes', 1), (',', 0), ('/', 0), ('were', 1), ('an', 1), ('all', 1), ('-', 0), ('eating', 2), ('shame', 1), ('and', 1), ('thriftless', None), ('praise', 1), ('.', 0))","(('to', 1), ('say', 1), ('', None), ('within', 2), ('thine', 1), ('own', 1), ('deep', 1), ('sunken', 2), ('eyes', 1), ('', None), ('were', 1), ('an', 1), ('all', 1), ('eating', 2), ('shame', 1), ('and', 1), ('thriftless', None), ('praise', 1), ('', None))"
Sonnet II,4,"How much more praise deserved thy beauty's use,/If thou couldst answer 'This fair child of mine","('how', 'much', 'more', 'praise', 'deserved', 'thy', ""beauty's"", 'use', ',', '/', 'if', 'thou', 'couldst', 'answer', ""'this"", 'fair', 'child', 'of', 'mine')","('how', 'much', 'more', 'praise', 'deserved', 'thy', ""beauty's"", 'use', '', 'if', 'thou', 'couldst', 'answer', ""'this"", 'fair', 'child', 'of', 'mine')","(('how', 1), ('much', 1), ('more', 1), ('praise', 1), ('deserved', 2), ('thy', 1), (""beauty's"", None), ('use', 1), (',', 0), ('/', 0), ('if', 1), ('thou', 1), ('couldst', None), ('answer', 2), (""'this"", None), ('fair', 1), ('child', 1), ('of', 1), ('mine', 1))","(('how', 1), ('much', 1), ('more', 1), ('praise', 1), ('deserved', 2), ('thy', 1), (""beauty's"", None), ('use', 1), ('', None), ('if', 1), ('thou', 1), ('couldst', None), ('answer', 2), (""'this"", None), ('fair', 1), ('child', 1), ('of', 1), ('mine', 1))"
Sonnet II,5,"Shall sum my count and make my old excuse,'/Proving his beauty by succession thine!","('shall', 'sum', 'my', 'count', 'and', 'make', 'my', 'old', 'excuse', ',', ""'"", '/', 'proving', 'his', 'beauty', 'by', 'succession', 'thine', '!')","('shall', 'sum', 'my', 'count', 'and', 'make', 'my', 'old', 'excuse', ""'"", 'proving', 'his', 'beauty', 'by', 'succession', 'thine!')","(('shall', 1), ('sum', 1), ('my', 1), ('count', 1), ('and', 1), ('make', 1), ('my', 1), ('old', 1), ('excuse', 2), (',', 0), (""'"", None), ('/', 0), ('proving', 2), ('his', 1), ('beauty', 2), ('by', 1), ('succession', 3), ('thine', 1), ('!', 0))","(('shall', 1), ('sum', 1), ('my', 1), ('count', 1), ('and', 1), ('make', 1), ('my', 1), ('old', 1), ('excuse', 2), (""'"", None), ('proving', 2), ('his', 1), ('beauty', 2), ('by', 1), ('succession', 3), ('thine!', None))"
Sonnet II,6,"  This were to be new made when thou art old,/  And see thy blood warm when thou feel'st it cold.","('this', 'were', 'to', 'be', 'new', 'made', 'when', 'thou', 'art', 'old', ',', '/', 'and', 'see', 'thy', 'blood', 'warm', 'when', 'thou', ""feel'st"", 'it', 'cold', '.')","('', '', 'this', 'were', 'to', 'be', 'new', 'made', 'when', 'thou', 'art', 'old', '', '', '', 'and', 'see', 'thy', 'blood', 'warm', 'when', 'thou', ""feel'st"", 'it', 'cold', '')","(('this', 1), ('were', 1), ('to', 1), ('be', 1), ('new', 1), ('made', 1), ('when', 1), ('thou', 1), ('art', 1), ('old', 1), (',', 0), ('/', 0), ('and', 1), ('see', 1), ('thy', 1), ('blood', 1), ('warm', 1), ('when', 1), ('thou', 1), (""feel'st"", None), ('it', 1), ('cold', 1), ('.', 0))","(('', None), ('', None), ('this', 1), ('were', 1), ('to', 1), ('be', 1), ('new', 1), ('made', 1), ('when', 1), ('thou', 1), ('art', 1), ('old', 1), ('', None), ('', None), ('', None), ('and', 1), ('see', 1), ('thy', 1), ('blood', 1), ('warm', 1), ('when', 1), ('thou', 1), (""feel'st"", None), ('it', 1), ('cold', 1), ('', None))"
Sonnet III,0,"Look in thy glass, and tell the face thou viewest/Now is the time that face should form another;","('look', 'in', 'thy', 'glass', ',', 'and', 'tell', 'the', 'face', 'thou', 'viewest', '/', 'now', 'is', 'the', 'time', 'that', 'face', 'should', 'form', 'another', ';')","('look', 'in', 'thy', 'glass', '', 'and', 'tell', 'the', 'face', 'thou', 'viewest', 'now', 'is', 'the', 'time', 'that', 'face', 'should', 'form', 'another;')","(('look', 1), ('in', 1), ('thy', 1), ('glass', 1), (',', 0), ('and', 1), ('tell', 1), ('the', 1), ('face', 1), ('thou', 1), ('viewest', None), ('/', 0), ('now', 1), ('is', 1), ('the', 1), ('time', 1), ('that', 1), ('face', 1), ('should', 1), ('form', 1), ('another', 3), (';', 0))","(('look', 1), ('in', 1), ('thy', 1), ('glass', 1), ('', None), ('and', 1), ('tell', 1), ('the', 1), ('face', 1), ('thou', 1), ('viewest', None), ('now', 1), ('is', 1), ('the', 1), ('time', 1), ('that', 1), ('face', 1), ('should', 1), ('form', 1), ('another;', None))"
Sonnet III,1,"Whose fresh repair if now thou not renewest,/Thou dost beguile the world, unbless some mother.","('whose', 'fresh', 'repair', 'if', 'now', 'thou', 'not', 'renewest', ',', '/', 'thou', 'dost', 'beguile', 'the', 'world', ',', 'unbless', 'some', 'mother', '.')","('whose', 'fresh', 'repair', 'if', 'now', 'thou', 'not', 'renewest', '', 'thou', 'dost', 'beguile', 'the', 'world', '', 'unbless', 'some', 'mother', '')","(('whose', 1), ('fresh', 1), ('repair', 2), ('if', 1), ('now', 1), ('thou', 1), ('not', 1), ('renewest', None), (',', 0), ('/', 0), ('thou', 1), ('dost', 1), ('beguile', 2), ('the', 1), ('world', 1), (',', 0), ('unbless', None), ('some', 1), ('mother', 2), ('.', 0))","(('whose', 1), ('fresh', 1), ('repair', 2), ('if', 1), ('now', 1), ('thou', 1), ('not', 1), ('renewest', None), ('', None), ('thou', 1), ('dost', 1), ('beguile', 2), ('the', 1), ('world', 1), ('', None), ('unbless', None), ('some', 1), ('mother', 2), ('', None))"
Sonnet III,2,For where is she so fair whose unear'd womb/Disdains the tillage of thy husbandry?,"('for', 'where', 'is', 'she', 'so', 'fair', 'whose', ""unear'd"", 'womb', '/', 'disdains', 'the', 'tillage', 'of', 'thy', 'husbandry', '?')","('for', 'where', 'is', 'she', 'so', 'fair', 'whose', ""unear'd"", 'womb', 'disdains', 'the', 'tillage', 'of', 'thy', 'husbandry?')","(('for', 1), ('where', 1), ('is', 1), ('she', 1), ('so', 1), ('fair', 1), ('whose', 1), (""unear'd"", None), ('womb', 1), ('/', 0), ('disdains', 2), ('the', 1), ('tillage', 2), ('of', 1), ('thy', 1), ('husbandry', 3), ('?', None))","(('for', 1), ('where', 1), ('is', 1), ('she', 1), ('so', 1), ('fair', 1), ('whose', 1), (""unear'd"", None), ('womb', 1), ('disdains', 2), ('the', 1), ('tillage', 2), ('of', 1), ('thy', 1), ('husbandry?', None))"
Sonnet III,3,"Or who is he so fond will be the tomb/Of his self-love, to stop posterity?","('or', 'who', 'is', 'he', 'so', 'fond', 'will', 'be', 'the', 'tomb', '/', 'of', 'his', 'self', '-', 'love', ',', 'to', 'stop', 'posterity', '?')","('or', 'who', 'is', 'he', 'so', 'fond', 'will', 'be', 'the', 'tomb', 'of', 'his', 'self', 'love', '', 'to', 'stop', 'posterity?')","(('or', 1), ('who', 1), ('is', 1), ('he', 1), ('so', 1), ('fond', 1), ('will', 1), ('be', 1), ('the', 1), ('tomb', 1), ('/', 0), ('of', 1), ('his', 1), ('self', 1), ('-', 0), ('love', 1), (',', 0), ('to', 1), ('stop', 1), ('posterity', 4), ('?', None))","(('or', 1), ('who', 1), ('is', 1), ('he', 1), ('so', 1), ('fond', 1), ('will', 1), ('be', 1), ('the', 1), ('tomb', 1), ('of', 1), ('his', 1), ('self', 1), ('love', 1), ('', None), ('to', 1), ('stop', 1), ('posterity?', None))"
Sonnet III,4,"Thou art thy mother's glass, and she in thee/Calls back the lovely April of her prime:","('thou', 'art', 'thy', ""mother's"", 'glass', ',', 'and', 'she', 'in', 'thee', '/', 'calls', 'back', 'the', 'lovely', 'april', 'of', 'her', 'prime', ':')","('thou', 'art', 'thy', ""mother's"", 'glass', '', 'and', 'she', 'in', 'thee', 'calls', 'back', 'the', 'lovely', 'april', 'of', 'her', 'prime', '')","(('thou', 1), ('art', 1), ('thy', 1), (""mother's"", 2), ('glass', 1), (',', 0), ('and', 1), ('she', 1), ('in', 1), ('thee', 1), ('/', 0), ('calls', 1), ('back', 1), ('the', 1), ('lovely', 2), ('april', 2), ('of', 1), ('her', 1), ('prime', 1), (':', None))","(('thou', 1), ('art', 1), ('thy', 1), (""mother's"", 2), ('glass', 1), ('', None), ('and', 1), ('she', 1), ('in', 1), ('thee', 1), ('calls', 1), ('back', 1), ('the', 1), ('lovely', 2), ('april', 2), ('of', 1), ('her', 1), ('prime', 1), ('', None))"
Sonnet III,5,So thou through windows of thine age shall see/Despite of wrinkles this thy golden time.,"('so', 'thou', 'through', 'windows', 'of', 'thine', 'age', 'shall', 'see', '/', 'despite', 'of', 'wrinkles', 'this', 'thy', 'golden', 'time', '.')","('so', 'thou', 'through', 'windows', 'of', 'thine', 'age', 'shall', 'see', 'despite', 'of', 'wrinkles', 'this', 'thy', 'golden', 'time', '')","(('so', 1), ('thou', 1), ('through', 1), ('windows', 2), ('of', 1), ('thine', 1), ('age', 1), ('shall', 1), ('see', 1), ('/', 0), ('despite', 2), ('of', 1), ('wrinkles', 2), ('this', 1), ('thy', 1), ('golden', 2), ('time', 1), ('.', 0))","(('so', 1), ('thou', 1), ('through', 1), ('windows', 2), ('of', 1), ('thine', 1), ('age', 1), ('shall', 1), ('see', 1), ('despite', 2), ('of', 1), ('wrinkles', 2), ('this', 1), ('thy', 1), ('golden', 2), ('time', 1), ('', None))"
